Number,Model,Company,Price,Rating,No_of_ratings,TotalReviews,RamSize,RomSize,,15228.30579
308,"POCO M4 Pro 5G (Yellow, 64 GB)",POCO,11999,4.3,"33,258","2,972",4 GB,64 GB,,
309,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)",MOTOROLA,20499,4.1,"3,123",411,8 GB,128 GB,,
310,"vivo T1X (Space Blue, 128 GB)",vivo,14999,4.4,"3,415",211,6 GB,128 GB,,
311,"POCO M4 Pro (Power Black, 128 GB)",POCO,16499,4.3,"1,30,276","11,960",6 GB,128 GB,,
312,"Infinix Smart 6 Plus (Tranquil Sea Blue, 64 GB)",Infinix,7599,4.2,"9,919",738,3 GB,64 GB,,
313,"REDMI 10 (Caribbean Green, 64 GB)",REDMI,9999,4.3,"1,65,144","10,864",4 GB,64 GB,,
314,"vivo T1 44W (Midnight Galaxy, 128 GB)",vivo,15999,4.4,"43,289","3,353",6 GB,128 GB,,
315,"vivo T1 44W (Starry Sky, 128 GB)",vivo,15999,4.4,"43,289","3,353",6 GB,128 GB,,
316,"realme 10 Pro 5G (Dark Matter, 128 GB)",realme,18999,4.4,"3,410",339,6 GB,128 GB,,
317,"realme 10 Pro 5G (Nebula Blue, 128 GB)",realme,19999,4.4,"1,963",193,8 GB,128 GB,,
318,"Infinix Hot 12 (Polar Black, 64 GB)",Infinix,8899,4.2,"14,750","1,095",4 GB,64 GB,,
319,"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",SAMSUNG,12999,4.4,"1,08,205","6,211",4 GB,128 GB,,
320,"realme 9 (Sunburst Gold, 128 GB)",realme,14599,4.4,"55,583","4,035",6 GB,128 GB,,
321,"realme 9 (Meteor Black, 128 GB)",realme,14599,4.4,"55,583","4,035",6 GB,128 GB,,
322,"realme 9 (Stargaze White, 128 GB)",realme,14599,4.4,"55,583","4,035",6 GB,128 GB,,
323,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)",MOTOROLA,18999,4.2,"5,211",703,6 GB,128 GB,,
324,"POCO M4 Pro 5G (Power Black, 128 GB)",POCO,14999,4.2,"7,856",692,8 GB,128 GB,,
325,"APPLE iPhone 13 (Starlight, 128 GB)",APPLE,60999,4.7,"1,77,611","9,781",128 GB,Not Known,,
326,"vivo T1 5G (Silky White, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
327,"vivo T1 5G (Starlight Black, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
328,"POCO M4 Pro 5G (Cool Blue, 128 GB)",POCO,14999,4.2,"7,856",692,8 GB,128 GB,,
329,"REDMI 9i Sport (Metallic Blue, 64 GB)",REDMI,7199,4.3,"2,09,377","12,027",4 GB,64 GB,,
330,"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",SAMSUNG,12999,4.4,"1,08,205","6,211",4 GB,128 GB,,
331,"MOTOROLA g82 5G (White Lily, 128 GB)",MOTOROLA,20499,4.1,"3,123",411,8 GB,128 GB,,
332,"APPLE iPhone 12 mini (Black, 64 GB)",APPLE,37999,4.5,"1,23,326","9,923",64 GB,Not Known,,
333,"MOTOROLA g31 (Meteorite Grey, 64 GB)",MOTOROLA,9999,4.2,"31,884","3,711",4 GB,64 GB,,
334,"POCO M4 Pro (Power Black, 128 GB)",POCO,16499,4.3,"1,30,276","11,960",6 GB,128 GB,,
335,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",MOTOROLA,16999,4.1,"1,949",229,8 GB,128 GB,,
336,"realme C30 (Denim Black, 32 GB)",realme,5999,4.3,"66,939","3,492",2 GB,32 GB,,
337,"realme C30 (Lake Blue, 32 GB)",realme,5999,4.3,"66,939","3,492",2 GB,32 GB,,
338,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",SAMSUNG,12999,4.4,"1,08,205","6,211",4 GB,128 GB,,
339,"APPLE iPhone 14 (Midnight, 256 GB)",APPLE,83990,4.6,981,67,256 GB,Not Known,,
340,"POCO X4 Pro 5G (Laser Blue, 128 GB)",POCO,19999,4.2,"61,334","6,308",6 GB,128 GB,,
341,"MOTOROLA g72 (Meteorite Grey, 128 GB)",MOTOROLA,14999,4.1,"4,878",776,6 GB,128 GB,,
342,"MOTOROLA g31 (Baby Blue, 128 GB)",MOTOROLA,11999,4.1,"12,475","1,337",6 GB,128 GB,,
343,"APPLE iPhone 13 (Midnight, 128 GB)",APPLE,60999,4.7,"1,77,611","9,781",128 GB,Not Known,,
344,"SAMSUNG Galaxy S21 FE 5G (Olive, 128 GB)",SAMSUNG,35999,4.4,"29,082","3,001",8 GB,128 GB,,
345,"APPLE iPhone 12 mini (Black, 64 GB)",APPLE,37999,4.5,"1,23,326","9,923",64 GB,Not Known,,
346,"POCO M3 Pro 5G (Yellow, 128 GB)",POCO,15499,4.2,"52,420","4,434",6 GB,128 GB,,
347,"OPPO K10 (Black Carbon, 128 GB)",OPPO,13990,4.4,"95,135","7,013",6 GB,128 GB,,
